age	Asian, Asian British or Asian Welsh: Bangladeshi Female	Asian, Asian British or Asian Welsh: Bangladeshi Male	Asian, Asian British or Asian Welsh: Chinese Female	Asian, Asian British or Asian Welsh: Chinese Male	Asian, Asian British or Asian Welsh: Indian Female	Asian, Asian British or Asian Welsh: Indian Male	Asian, Asian British or Asian Welsh: Pakistani Female	Asian, Asian British or Asian Welsh: Pakistani Male	Asian, Asian British or Asian Welsh: Other Asian Female	Asian, Asian British or Asian Welsh: Other Asian Male	Black, Black British, Black Welsh, Caribbean or African: African Female	Black, Black British, Black Welsh, Caribbean or African: African Male	Black, Black British, Black Welsh, Caribbean or African: Caribbean Female	Black, Black British, Black Welsh, Caribbean or African: Caribbean Male	Black, Black British, Black Welsh, Caribbean or African: Other Black Female	Black, Black British, Black Welsh, Caribbean or African: Other Black Male	Mixed or Multiple ethnic groups: White and Asian Female	Mixed or Multiple ethnic groups: White and Asian Male	Mixed or Multiple ethnic groups: White and Black African Female	Mixed or Multiple ethnic groups: White and Black African Male	Mixed or Multiple ethnic groups: White and Black Caribbean Female	Mixed or Multiple ethnic groups: White and Black Caribbean Male	Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups Female	Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups Male	White: English, Welsh, Scottish, Northern Irish or British Female	White: English, Welsh, Scottish, Northern Irish or British Male	White: Gypsy or Irish Traveller Female	White: Gypsy or Irish Traveller Male	White: Irish Female	White: Irish Male	White: Roma Female	White: Roma Male	White: Other White Female	White: Other White Male	Other ethnic group: Arab Female	Other ethnic group: Arab Male	Other ethnic group: Any other ethnic group Female	Other ethnic group: Any other ethnic group Male
10	6085	6165	2180	2370	11700	12395	14905	15490	6655	7095	13285	13515	2735	2950	4150	4345	7190	7445	3905	3895	6600	6840	5205	5660	242525	257030	630	620	765	890	585	550	17510	18580	3075	3290	6170	6595
11	6315	6245	2210	2265	11485	11895	15160	15890	6780	7160	13395	13600	2960	2980	4375	4370	6940	7025	3780	3695	6425	6585	5405	5545	239460	252675	625	700	795	895	570	580	17725	18760	2960	3365	6235	6650
12	6165	6285	2250	2240	11270	11895	15580	15960	7010	7345	13975	14025	2985	3150	4390	4250	6450	6975	3635	3875	6420	6515	5170	5250	238485	251080	625	640	890	965	515	625	17620	18730	2990	3315	6085	6400
13	6145	6800	2120	2325	11120	11755	14975	15825	7060	7440	13820	13870	3190	3085	4200	4390	6455	6695	3555	3590	6130	6500	5160	5230	238675	252490	690	650	915	995	540	590	16675	17365	3000	3150	5950	6275
14	6130	6355	2050	2150	10530	11160	14715	15215	6640	7050	13510	13690	3165	3255	4140	4245	5970	6465	3120	3395	6070	6150	4645	4875	233985	246555	605	620	955	980	505	495	15515	16030	2740	2975	5800	6075
15	6020	6460	2015	1970	9890	10730	14200	15320	6345	7010	13455	13310	3145	3325	3605	4005	5590	5900	2930	2970	5720	5875	4310	4535	227920	240605	605	605	990	1050	420	485	14810	15095	2660	3005	5645	5960
16	6395	6385	2235	2160	9955	10590	14235	15170	6695	7375	13600	13965	3355	3560	3440	3735	5485	5645	2740	2820	5825	5995	4370	4470	228735	243825	610	655	995	1065	465	575	14655	15220	2720	2970	5650	6365
17	6270	6490	2175	2260	9305	10055	14090	14700	6375	6965	13235	13715	3655	3835	3170	3500	5090	5255	2575	2540	5360	5675	4055	4270	227880	242370	540	595	1095	1125	400	505	14555	15305	2565	2995	5515	6280
18	6000	6055	3185	3040	9795	10605	13735	14655	6390	6915	13755	14095	3795	3750	2550	3000	4980	4970	2260	2390	5150	5295	3770	3875	222730	236785	545	515	1225	1390	485	495	16555	15525	2655	3190	5270	6270
19	6075	6220	4055	3890	10170	11085	13590	14065	6385	7695	13575	14120	3850	3840	2100	2355	4915	4505	2260	2230	5215	5405	4000	3735	229570	239255	560	505	1615	1690	575	670	20965	18065	3075	3555	5540	6535
20	5515	5835	5360	4865	9900	11065	12435	13040	6660	7620	12910	12965	3835	3830	1935	2205	4605	4405	2170	2225	5015	5085	3690	3600	228715	239260	500	480	1750	1760	745	730	23320	19890	2875	3590	5735	6105
21	5465	5670	5350	5075	10165	11410	12290	12685	6570	7795	12430	12670	4065	3950	1755	2140	4435	4300	2125	2070	5100	5210	3820	3630	238275	247590	515	575	1960	1870	775	850	24730	20765	2760	3005	5865	6425
